	posicao	nome	cargo	partido	pontuacao	estado	presidente
100	99	Tasso Jereissati	Senador	PSDB	7.18	CE	False
101	99	Maurício Dziedricki 	Deputado Federal	PODEMOS	7.18	RS	False
102	99	Fernando Bezerra Coelho	Senador	MDB	7.18	PE	False
103	99	Helio Lopes 	Deputado Federal	PL	7.18	RJ	False
104	104	Heitor Freire 	Deputado Federal	UNIÃO	7.17	CE	False
105	105	Luis Carlos Heinze	Senador	PP	7.16	RS	False
106	105	Jose Mario Schreiner 	Deputado Federal	MDB	7.16	GO	False
107	107	Telmário Mota	Senador	PROS	7.15	RR	False
108	107	Paulo Freire Costa 	Deputado Federal	PL	7.15	SP	False
109	107	Felipe Francischini 	Deputado Federal	UNIÃO	7.15	PR	False
110	110	Efraim Filho 	Deputado Federal	UNIÃO	7.14	PB	False
111	111	Dr. Luiz Ovando 	Deputado Federal	PP	7.13	MS	False
112	111	Patricia Ferraz 	Deputado Federal	PL	7.13	AP	False
113	113	Eduardo Cury 	Deputado Federal	PSDB	7.12	SP	False
114	114	Bilac Pinto 	Deputado Federal	UNIÃO	7.11	MG	False
115	114	Coronel Tadeu 	Deputado Federal	PL	7.11	SP	False
116	114	Coronel Armando 	Deputado Federal	PL	7.11	SC	False
117	117	Rossoni	Deputado Federal	PSDB	7.1	PR	False
118	117	Nelsinho Trad	Senador	PSD	7.1	MS	False
119	119	Carlos Sampaio 	Deputado Federal	PSDB	7.09	SP	False
120	119	Vanderlan Cardoso	Senador	PSD	7.09	GO	False
121	121	Aluisio Mendes 	Deputado Federal	PSC	7.08	MA	False
122	121	Giordano	Senador	MDB	7.08	SP	False
123	123	Vanderlei Macris 	Deputado Federal	PSDB	7.07	SP	False
124	123	Danilo Forte	Deputado Federal	UNIÃO	7.07	CE	False
125	123	Julian Lemos 	Deputado Federal	UNIÃO	7.07	PB	False
126	126	Marcelo Castro	Senador	MDB	7.06	PI	False
127	126	Sandro Alex 	Deputado Federal	PSD	7.06	PR	False
128	126	Rubens Bueno 	Deputado Federal	CIDADANIA	7.06	PR	False
129	126	Delegado Marcelo Freitas 	Deputado Federal	UNIÃO	7.06	MG	False
130	130	Fabio Schiochet 	Deputado Federal	UNIÃO	7.05	SC	False
131	131	Pedro Paulo 	Deputado Federal	PSD	7.04	RJ	False
